id,Type,Flavor,Filling,Size,Layers,Frosting Type,Frosting Flavor,Decoration Type,Decoration Color,Custom Message,Shape,Allergies,Special Ingredients,Packaging Type,Price,Quantity
4,15,121,Anniversary,Lemon,Mocha Cream,Large,4,Whipped Cream,Red Velvet,Sprinkles,Ivory,Message 15,Square,Nuts,Sugar-Free,Box
5,16,62,Engagement,Coffee,Caramel,Small,5,Buttercream,Lemon,Hearts,Red,Message 16,Heart,None,Gluten-Free Flour,Premium Box
2,17,46,Wedding,Vanilla,Mocha Cream,Large,3,Whipped Cream,Vanilla,Minimalist,Gold,Message 17,Round,Dairy,Vegan,Box
3,18,126,Valentine,Lemon,Chocolate Cream,Large,5,Buttercream,Chocolate,Sprinkles,Ivory,Message 18,Round,Dairy,Vegan,Premium Box
2,19,108,Birthday,Funfetti,Mocha Cream,Large,2,Cream Cheese,Funfetti,Sprinkles,Red,Message 19,Round,Dairy,Gluten-Free Flour,Custom Packaging
5,20,113,Anniversary,Coffee,Lemon Curd,Large,5,Whipped Cream,Coffee,Drip Design,White,Message 20,Rectangle,Dairy,None,Box
1,21,129,Baby Shower,Strawberry,Cream Cheese,Medium,5,Buttercream,Strawberry,Logo,Blue,Message 21,Round,Dairy,Vegan,Custom Packaging
3,22,118,Valentine,Red Velvet,Chocolate Cream,Medium,5,Buttercream,Chocolate,Classic,Black,Message 22,Square,None,Sugar-Free,Custom Packaging
2,23,76,Birthday,Funfetti,Cream Cheese,Large,5,Whipped Cream,Coffee,Hearts,Pink,Message 23,Round,None,None,Custom Packaging
1,24,82,Birthday,Red Velvet,Cream Cheese,Large,4,Buttercream,Funfetti,Drip Design,Purple,Message 24,Heart,Nuts,None,Box
3,25,73,Anniversary,Chocolate,Chocolate Cream,Small,5,Buttercream,Strawberry,Flowers,Ivory,Message 25,Round,Nuts,Gluten-Free Flour,Premium Box
4,26,66,Engagement,Coffee,Chocolate Cream,Medium,5,Whipped Cream,Funfetti,Minimalist,Black,Message 26,Round,Gluten,Sugar-Free,Box
2,27,113,Corporate,Red Velvet,Lemon Curd,Small,3,Cream Cheese,Lemon,Hearts,Pink,Message 27,Square,Nuts,Vegan,Box
4,28,20,Valentine,Strawberry,Cream Cheese,Small,3,Whipped Cream,Funfetti,Flowers,Gold,Message 28,Square,Nuts,Vegan,Premium Box
3,29,19,Corporate,Chocolate,Lemon Curd,Large,3,Whipped Cream,Lemon,Hearts,Ivory,Message 29,Rectangle,None,Vegan,Premium Box
2,30,114,Birthday,Red Velvet,Vanilla Cream,Large,5,Buttercream,Vanilla,Flowers,Red,Message 30,Rectangle,Dairy,None,Premium Box
3,31,117,Corporate,Coffee,Mocha Cream,Small,3,Buttercream,Funfetti,Classic,White,Message 31,Square,None,Sugar-Free,Custom Packaging
5,32,17,Birthday,Chocolate,Vanilla Cream,Medium,3,Buttercream,Red Velvet,Flowers,Ivory,Message 32,Square,Dairy,Sugar-Free,Box
4,33,92,Graduation,Vanilla,Vanilla Cream,Small,3,Cream Cheese,Lemon,Classic,White,Message 33,Heart,Gluten,Gluten-Free Flour,Box
2,34,93,Baby Shower,Red Velvet,Strawberry Jam,Large,4,Cream Cheese,Red Velvet,Flowers,Purple,Message 34,Heart,Dairy,Gluten-Free Flour,Premium Box
1,35,129,Engagement,Chocolate,Mocha Cream,Large,4,Whipped Cream,Red Velvet,Classic,Black,Message 35,Round,Dairy,None,Custom Packaging
3,36,97,Anniversary,Chocolate,Cream Cheese,Medium,2,Whipped Cream,Coffee,Hearts,Blue,Message 36,Heart,Dairy,None,Box
1,37,55,Anniversary,Red Velvet,Chocolate Cream,Small,3,Whipped Cream,Lemon,Hearts,Pink,Message 37,Square,Nuts,Vegan,Custom Packaging
2,38,129,Anniversary,Lemon,Chocolate Cream,Large,2,Whipped Cream,Lemon,Logo,Pink,Message 38,Rectangle,Dairy,Vegan,Custom Packaging
4,39,78,Birthday,Red Velvet,Strawberry Jam,Large,2,Buttercream,Lemon,Drip Design,Blue,Message 39,Heart,Gluten,Gluten-Free Flour,Custom Packaging
5,40,113,Wedding,Strawberry,Mocha Cream,Small,4,Buttercream,Funfetti,Flowers,Purple,Message 40,Rectangle,None,Sugar-Free,Box
2,41,117,Anniversary,Red Velvet,Strawberry Jam,Large,3,Buttercream,Coffee,Drip Design,Pink,Message 41,Rectangle,None,Vegan,Custom Packaging
1,42,68,Corporate,Funfetti,Cream Cheese,Small,5,Whipped Cream,Vanilla,Classic,Ivory,Message 42,Square,Nuts,Gluten-Free Flour,Custom Packaging
5,43,79,Graduation,Strawberry,Caramel,Medium,3,Buttercream,Vanilla,Classic,Pink,Message 43,Rectangle,Dairy,Gluten-Free Flour,Box
2,44,46,Birthday,Vanilla,Mocha Cream,Medium,5,Buttercream,Lemon,Sprinkles,Gold,Message 44,Square,None,Sugar-Free,Box
1,45,148,Valentine,Funfetti,Lemon Curd,Medium,5,Buttercream,Strawberry,Minimalist,White,Message 45,Square,Dairy,Sugar-Free,Box
2,46,118,Anniversary,Vanilla,Cream Cheese,Large,2,Whipped Cream,Red Velvet,Flowers,Pink,Message 46,Rectangle,Gluten,Sugar-Free,Box
2,47,74,Engagement,Funfetti,Mocha Cream,Medium,5,Cream Cheese,Lemon,Logo,Ivory,Message 47,Round,Gluten,Gluten-Free Flour,Custom Packaging
3,48,24,Graduation,Strawberry,Cream Cheese,Large,5,Cream Cheese,Coffee,Flowers,Ivory,Message 48,Square,Nuts,None,Custom Packaging
3,49,47,Anniversary,Funfetti,Caramel,Small,5,Whipped Cream,Coffee,Drip Design,Purple,Message 49,Round,Gluten,Gluten-Free Flour,Custom Packaging
4,50,114,Corporate,Lemon,Cream Cheese,Large,5,Buttercream,Red Velvet,Minimalist,Black,Message 50,Rectangle,Gluten,Vegan,Box
1,51,97,Wedding,Vanilla,Cream Cheese,Small,2,Whipped Cream,Chocolate,Flowers,Black,Message 51,Square,Nuts,Vegan,Premium Box
2,52,109,Valentine,Vanilla,Chocolate Cream,Large,3,Buttercream,Red Velvet,Minimalist,Ivory,Message 52,Square,Dairy,Sugar-Free,Premium Box
3,53,118,Corporate,Coffee,Vanilla Cream,Medium,1,Whipped Cream,Funfetti,Hearts,Red,Message 53,Rectangle,Gluten,Sugar-Free,Box
5,54,101,Wedding,Funfetti,Vanilla Cream,Medium,3,Cream Cheese,Coffee,Logo,White,Message 54,Rectangle,Dairy,Vegan,Premium Box
3,55,149,Valentine,Funfetti,Cream Cheese,Medium,5,Whipped Cream,Vanilla,Drip Design,Pink,Message 55,Square,None,Gluten-Free Flour,Box
1,56,122,Wedding,Red Velvet,Vanilla Cream,Medium,3,Buttercream,Chocolate,Logo,Black,Message 56,Round,Gluten,None,Box
2,57,50,Anniversary,Red Velvet,Vanilla Cream,Small,1,Whipped Cream,Vanilla,Drip Design,Gold,Message 57,Heart,Nuts,Sugar-Free,Custom Packaging
1,58,95,Valentine,Coffee,Chocolate Cream,Large,5,Buttercream,Funfetti,Minimalist,Black,Message 58,Rectangle,Gluten,Gluten-Free Flour,Box
4,59,112,Birthday,Red Velvet,Cream Cheese,Small,1,Cream Cheese,Red Velvet,Drip Design,Purple,Message 59,Rectangle,Nuts,Sugar-Free,Custom Packaging
2,60,33,Graduation,Red Velvet,Chocolate Cream,Large,4,Cream Cheese,Chocolate,Logo,White,Message 60,Round,Dairy,None,Premium Box
3,61,68,Baby Shower,Strawberry,Lemon Curd,Small,1,Cream Cheese,Lemon,Minimalist,Pink,Message 61,Rectangle,Dairy,Sugar-Free,Box
3,62,132,Anniversary,Red Velvet,Vanilla Cream,Small,4,Buttercream,Vanilla,Drip Design,White,Message 62,Square,Dairy,None,Custom Packaging
2,63,117,Valentine,Lemon,Lemon Curd,Small,1,Buttercream,Coffee,Classic,White,Message 63,Square,Gluten,None,Custom Packaging
3,64,125,Baby Shower,Lemon,Caramel,Large,3,Buttercream,Strawberry,Classic,Gold,Message 64,Round,None,Sugar-Free,Custom Packaging
2,65,70,Wedding,Red Velvet,Mocha Cream,Small,4,Buttercream,Strawberry,Classic,Blue,Message 65,Round,Dairy,Gluten-Free Flour,Premium Box
4,66,49,Valentine,Vanilla,Vanilla Cream,Large,5,Whipped Cream,Chocolate,Flowers,Purple,Message 66,Round,Gluten,Sugar-Free,Custom Packaging
2,67,110,Anniversary,Vanilla,Vanilla Cream,Large,5,Cream Cheese,Lemon,Classic,Ivory,Message 67,Round,None,Gluten-Free Flour,Premium Box
2,68,143,Baby Shower,Red Velvet,Mocha Cream,Small,3,Whipped Cream,Chocolate,Classic,White,Message 68,Heart,Gluten,Sugar-Free,Premium Box
3,69,29,Birthday,Funfetti,Vanilla Cream,Small,4,Whipped Cream,Lemon,Sprinkles,Purple,Message 69,Square,Nuts,None,Custom Packaging
1,70,105,Engagement,Funfetti,Cream Cheese,Large,1,Cream Cheese,Funfetti,Logo,Pink,Message 70,Round,Gluten,Gluten-Free Flour,Box
5,71,100,Corporate,Strawberry,Vanilla Cream,Large,4,Cream Cheese,Lemon,Logo,Ivory,Message 71,Square,None,Vegan,Custom Packaging
1,72,105,Wedding,Red Velvet,Mocha Cream,Medium,2,Buttercream,Coffee,Drip Design,Red,Message 72,Square,Nuts,Vegan,Premium Box
3,73,30,Birthday,Strawberry,Cream Cheese,Large,2,Whipped Cream,Strawberry,Flowers,Gold,Message 73,Square,Nuts,None,Custom Packaging
2,74,65,Baby Shower,Vanilla,Vanilla Cream,Small,4,Cream Cheese,Lemon,Minimalist,Ivory,Message 74,Round,Dairy,None,Custom Packaging
4,75,65,Birthday,Lemon,Mocha Cream,Medium,2,Cream Cheese,Chocolate,Flowers,Gold,Message 75,Square,None,Gluten-Free Flour,Box
3,76,71,Valentine,Chocolate,Strawberry Jam,Small,5,Buttercream,Coffee,Logo,Blue,Message 76,Square,Dairy,Vegan,Premium Box
3,77,81,Corporate,Strawberry,Mocha Cream,Medium,2,Buttercream,Vanilla,Classic,Black,Message 77,Heart,Gluten,Vegan,Custom Packaging
3,78,41,Anniversary,Funfetti,Vanilla Cream,Large,3,Cream Cheese,Coffee,Flowers,Gold,Message 78,Rectangle,Dairy,Gluten-Free Flour,Box
4,79,76,Corporate,Vanilla,Vanilla Cream,Medium,1,Whipped Cream,Coffee,Flowers,Red,Message 79,Rectangle,Dairy,Gluten-Free Flour,Premium Box
5,80,62,Birthday,Red Velvet,Strawberry Jam,Small,5,Cream Cheese,Lemon,Minimalist,Pink,Message 80,Rectangle,Dairy,Sugar-Free,Custom Packaging
2,81,141,Baby Shower,Chocolate,Lemon Curd,Large,3,Whipped Cream,Chocolate,Sprinkles,Red,Message 81,Round,Gluten,Gluten-Free Flour,Premium Box
5,82,56,Baby Shower,Vanilla,Caramel,Large,1,Buttercream,Red Velvet,Sprinkles,Black,Message 82,Rectangle,Gluten,Vegan,Box
1,83,59,Anniversary,Chocolate,Chocolate Cream,Large,4,Whipped Cream,Strawberry,Flowers,Ivory,Message 83,Rectangle,None,Vegan,Custom Packaging
1,84,148,Graduation,Strawberry,Caramel,Medium,2,Buttercream,Lemon,Logo,Ivory,Message 84,Heart,Gluten,Vegan,Box
5,85,76,Corporate,Coffee,Vanilla Cream,Small,4,Cream Cheese,Vanilla,Drip Design,White,Message 85,Rectangle,Nuts,Gluten-Free Flour,Box
2,86,145,Engagement,Vanilla,Caramel,Large,1,Cream Cheese,Coffee,Drip Design,Blue,Message 86,Square,Gluten,Vegan,Custom Packaging
4,87,19,Baby Shower,Red Velvet,Lemon Curd,Small,1,Whipped Cream,Lemon,Logo,Purple,Message 87,Round,Dairy,None,Box
1,88,95,Wedding,Vanilla,Lemon Curd,Large,2,Whipped Cream,Red Velvet,Hearts,Blue,Message 88,Heart,Nuts,Gluten-Free Flour,Premium Box
1,89,20,Birthday,Chocolate,Vanilla Cream,Large,1,Whipped Cream,Red Velvet,Logo,Purple,Message 89,Rectangle,None,None,Custom Packaging
1,90,90,Corporate,Coffee,Cream Cheese,Small,3,Cream Cheese,Red Velvet,Sprinkles,Red,Message 90,Round,Nuts,Sugar-Free,Custom Packaging
2,91,88,Corporate,Red Velvet,Lemon Curd,Large,3,Cream Cheese,Strawberry,Classic,Blue,Message 91,Square,None,Gluten-Free Flour,Custom Packaging
3,92,140,Baby Shower,Coffee,Cream Cheese,Large,1,Cream Cheese,Coffee,Flowers,Pink,Message 92,Heart,Gluten,Vegan,Box
2,93,109,Anniversary,Funfetti,Caramel,Large,4,Cream Cheese,Vanilla,Logo,Red,Message 93,Rectangle,Dairy,Vegan,Premium Box
5,94,114,Valentine,Funfetti,Chocolate Cream,Medium,5,Buttercream,Chocolate,Hearts,Red,Message 94,Heart,Dairy,None,Premium Box
2,95,78,Anniversary,Strawberry,Chocolate Cream,Large,1,Cream Cheese,Coffee,Drip Design,Black,Message 95,Rectangle,Nuts,None,Custom Packaging
5,96,57,Valentine,Coffee,Vanilla Cream,Medium,3,Buttercream,Vanilla,Sprinkles,Blue,Message 96,Square,None,Gluten-Free Flour,Premium Box
1,97,87,Anniversary,Strawberry,Cream Cheese,Small,3,Cream Cheese,Red Velvet,Hearts,Black,Message 97,Rectangle,None,Vegan,Custom Packaging
3,98,136,Baby Shower,Coffee,Chocolate Cream,Medium,4,Cream Cheese,Vanilla,Sprinkles,Ivory,Message 98,Rectangle,Dairy,None,Premium Box
5,99,26,Valentine,Funfetti,Caramel,Small,1,Cream Cheese,Lemon,Sprinkles,Purple,Message 99,Heart,Dairy,Sugar-Free,Custom Packaging
1,100,60,Corporate,Funfetti,Chocolate Cream,Large,3,Whipped Cream,Lemon,Classic,Red,Message 100,Square,Gluten,Vegan,Box
5,101,60,Engagement,Funfetti,Caramel,Large,3,Cream Cheese,Funfetti,Drip Design,Black,Message 101,Round,None,Vegan,Custom Packaging
1,102,109,Anniversary,Red Velvet,Caramel,Medium,2,Whipped Cream,Vanilla,Hearts,Red,Message 102,Heart,Dairy,Sugar-Free,Custom Packaging
4,103,145,Birthday,Red Velvet,Lemon Curd,Large,4,Whipped Cream,Vanilla,Logo,Blue,Message 103,Heart,Gluten,Vegan,Custom Packaging
3,104,93,Valentine,Funfetti,Caramel,Medium,5,Whipped Cream,Vanilla,Logo,Ivory,Message 104,Heart,Nuts,Sugar-Free,Custom Packaging
1,105,91,Wedding,Vanilla,Caramel,Small,1,Cream Cheese,Lemon,Drip Design,Black,Message 105,Round,Dairy,Gluten-Free Flour,Custom Packaging
2,106,105,Anniversary,Chocolate,Strawberry Jam,Large,3,Cream Cheese,Lemon,Flowers,Purple,Message 106,Heart,Dairy,Sugar-Free,Custom Packaging
4,107,62,Anniversary,Strawberry,Cream Cheese,Large,3,Whipped Cream,Coffee,Classic,Pink,Message 107,Square,Gluten,Vegan,Premium Box
5,108,97,Valentine,Coffee,Cream Cheese,Large,2,Whipped Cream,Strawberry,Hearts,White,Message 108,Round,Dairy,Sugar-Free,Custom Packaging
1,109,54,Baby Shower,Funfetti,Mocha Cream,Medium,1,Buttercream,Funfetti,Logo,Black,Message 109,Square,Dairy,Sugar-Free,Custom Packaging
1,110,146,Birthday,Chocolate,Strawberry Jam,Medium,5,Whipped Cream,Chocolate,Drip Design,White,Message 110,Rectangle,Nuts,None,Custom Packaging
3,111,56,Baby Shower,Strawberry,Lemon Curd,Medium,3,Buttercream,Lemon,Logo,Pink,Message 111,Square,Nuts,Sugar-Free,Premium Box
1,112,119,Graduation,Vanilla,Strawberry Jam,Medium,4,Buttercream,Chocolate,Minimalist,Black,Message 112,Square,Nuts,Vegan,Premium Box
4,113,32,Graduation,Coffee,Strawberry Jam,Large,3,Cream Cheese,Coffee,Sprinkles,Gold,Message 113,Square,None,None,Box
3,114,113,Anniversary,Funfetti,Chocolate Cream,Small,4,Whipped Cream,Lemon,Logo,Ivory,Message 114,Rectangle,Nuts,None,Custom Packaging
5,115,87,Graduation,Vanilla,Caramel,Medium,5,Buttercream,Funfetti,Flowers,White,Message 115,Round,Nuts,Gluten-Free Flour,Premium Box
2,116,25,Engagement,Vanilla,Caramel,Medium,2,Whipped Cream,Vanilla,Logo,Pink,Message 116,Square,Nuts,Vegan,Custom Packaging
5,117,147,Birthday,Funfetti,Lemon Curd,Large,1,Whipped Cream,Lemon,Minimalist,White,Message 117,Square,None,Sugar-Free,Custom Packaging
1,118,18,Birthday,Vanilla,Cream Cheese,Small,1,Buttercream,Strawberry,Minimalist,Blue,Message 118,Heart,None,Vegan,Custom Packaging
3,119,31,Anniversary,Lemon,Lemon Curd,Large,5,Whipped Cream,Chocolate,Classic,Red,Message 119,Round,Nuts,Sugar-Free,Premium Box
1,120,139,Valentine,Coffee,Chocolate Cream,Medium,4,Cream Cheese,Strawberry,Drip Design,Gold,Message 120,Round,None,Vegan,Box
1,121,52,Anniversary,Coffee,Mocha Cream,Large,1,Buttercream,Coffee,Flowers,Purple,Message 121,Rectangle,Dairy,Gluten-Free Flour,Premium Box
1,122,53,Graduation,Strawberry,Cream Cheese,Medium,4,Cream Cheese,Strawberry,Hearts,White,Message 122,Heart,None,Vegan,Custom Packaging
4,123,31,Engagement,Strawberry,Mocha Cream,Small,3,Whipped Cream,Funfetti,Sprinkles,Black,Message 123,Round,Dairy,Sugar-Free,Custom Packaging
5,124,63,Valentine,Vanilla,Caramel,Large,2,Cream Cheese,Red Velvet,Hearts,Purple,Message 124,Rectangle,None,Gluten-Free Flour,Premium Box
2,125,54,Engagement,Lemon,Mocha Cream,Small,5,Buttercream,Red Velvet,Sprinkles,Red,Message 125,Heart,Dairy,None,Custom Packaging
5,126,102,Baby Shower,Red Velvet,Chocolate Cream,Small,1,Cream Cheese,Red Velvet,Hearts,Black,Message 126,Heart,None,Vegan,Box
4,127,145,Corporate,Funfetti,Caramel,Small,2,Cream Cheese,Coffee,Flowers,White,Message 127,Square,Gluten,Sugar-Free,Premium Box
1,128,23,Anniversary,Coffee,Caramel,Small,5,Cream Cheese,Vanilla,Hearts,Blue,Message 128,Rectangle,Dairy,Gluten-Free Flour,Custom Packaging
5,129,17,Valentine,Funfetti,Chocolate Cream,Medium,1,Whipped Cream,Vanilla,Flowers,Black,Message 129,Square,Nuts,Gluten-Free Flour,Premium Box
3,130,30,Anniversary,Strawberry,Cream Cheese,Small,4,Cream Cheese,Chocolate,Drip Design,Pink,Message 130,Rectangle,Dairy,None,Premium Box
3,131,47,Engagement,Funfetti,Cream Cheese,Medium,1,Buttercream,Coffee,Logo,Gold,Message 131,Rectangle,Nuts,Vegan,Box
2,132,142,Engagement,Chocolate,Cream Cheese,Medium,3,Cream Cheese,Vanilla,Sprinkles,Gold,Message 132,Heart,Gluten,Sugar-Free,Custom Packaging
4,133,60,Birthday,Funfetti,Cream Cheese,Small,5,Whipped Cream,Red Velvet,Flowers,White,Message 133,Heart,Gluten,Vegan,Box
1,134,118,Wedding,Coffee,Mocha Cream,Medium,4,Buttercream,Lemon,Drip Design,Black,Message 134,Rectangle,Gluten,Sugar-Free,Box
4,135,70,Graduation,Red Velvet,Vanilla Cream,Large,3,Whipped Cream,Coffee,Classic,Blue,Message 135,Rectangle,Nuts,None,Premium Box
1,136,28,Valentine,Red Velvet,Vanilla Cream,Large,3,Whipped Cream,Funfetti,Flowers,Black,Message 136,Round,Nuts,Sugar-Free,Premium Box
4,137,44,Corporate,Vanilla,Lemon Curd,Small,3,Whipped Cream,Strawberry,Flowers,White,Message 137,Rectangle,Gluten,Gluten-Free Flour,Premium Box
1,138,140,Anniversary,Vanilla,Chocolate Cream,Small,4,Whipped Cream,Coffee,Flowers,Blue,Message 138,Round,Gluten,None,Premium Box
5,139,62,Birthday,Chocolate,Chocolate Cream,Medium,4,Cream Cheese,Funfetti,Logo,Ivory,Message 139,Rectangle,Gluten,None,Box
1,140,45,Wedding,Chocolate,Mocha Cream,Large,5,Whipped Cream,Strawberry,Minimalist,Blue,Message 140,Round,Nuts,None,Box
3,141,78,Engagement,Vanilla,Lemon Curd,Small,2,Buttercream,Funfetti,Classic,Red,Message 141,Rectangle,None,Vegan,Custom Packaging
4,142,50,Anniversary,Red Velvet,Mocha Cream,Large,4,Cream Cheese,Lemon,Flowers,White,Message 142,Round,Nuts,Vegan,Premium Box
5,143,115,Birthday,Vanilla,Cream Cheese,Large,5,Buttercream,Vanilla,Drip Design,Black,Message 143,Square,Dairy,None,Premium Box
5,144,41,Corporate,Red Velvet,Caramel,Small,4,Cream Cheese,Funfetti,Classic,Gold,Message 144,Rectangle,Nuts,None,Custom Packaging
2,145,56,Wedding,Funfetti,Vanilla Cream,Small,1,Cream Cheese,Coffee,Flowers,Pink,Message 145,Round,Nuts,None,Premium Box
3,146,82,Wedding,Vanilla,Chocolate Cream,Medium,1,Cream Cheese,Vanilla,Minimalist,Pink,Message 146,Square,Nuts,Vegan,Box
5,147,80,Corporate,Lemon,Chocolate Cream,Medium,2,Buttercream,Vanilla,Flowers,Purple,Message 147,Rectangle,None,Gluten-Free Flour,Custom Packaging
2,148,146,Birthday,Funfetti,Vanilla Cream,Large,2,Cream Cheese,Strawberry,Flowers,Pink,Message 148,Square,Dairy,Vegan,Box
2,149,92,Wedding,Red Velvet,Chocolate Cream,Medium,2,Cream Cheese,Lemon,Logo,Pink,Message 149,Rectangle,None,Gluten-Free Flour,Premium Box
2,150,148,Valentine,Coffee,Lemon Curd,Small,2,Whipped Cream,Coffee,Drip Design,Pink,Message 150,Round,Nuts,Vegan,Custom Packaging
2,151,115,Baby Shower,Lemon,Mocha Cream,Small,5,Cream Cheese,Funfetti,Sprinkles,White,Message 151,Heart,Gluten,None,Custom Packaging
3,152,21,Baby Shower,Coffee,Chocolate Cream,Small,5,Cream Cheese,Funfetti,Hearts,White,Message 152,Heart,None,Gluten-Free Flour,Custom Packaging
5,153,145,Wedding,Red Velvet,Strawberry Jam,Medium,5,Whipped Cream,Strawberry,Drip Design,Gold,Message 153,Heart,Dairy,Vegan,Box
3,154,138,Baby Shower,Funfetti,Caramel,Small,4,Whipped Cream,Lemon,Classic,Blue,Message 154,Rectangle,None,Sugar-Free,Custom Packaging
2,155,118,Corporate,Lemon,Strawberry Jam,Medium,5,Buttercream,Coffee,Classic,Gold,Message 155,Heart,None,Vegan,Custom Packaging
3,156,26,Engagement,Lemon,Mocha Cream,Small,3,Whipped Cream,Chocolate,Drip Design,Blue,Message 156,Round,Dairy,None,Custom Packaging
2,157,82,Valentine,Red Velvet,Chocolate Cream,Medium,4,Buttercream,Red Velvet,Classic,Ivory,Message 157,Square,None,None,Custom Packaging
3,158,51,Anniversary,Funfetti,Strawberry Jam,Medium,1,Whipped Cream,Strawberry,Flowers,Black,Message 158,Rectangle,Nuts,Vegan,Custom Packaging
1,159,122,Valentine,Lemon,Mocha Cream,Medium,5,Buttercream,Chocolate,Hearts,White,Message 159,Round,Gluten,None,Custom Packaging
2,160,57,Valentine,Lemon,Cream Cheese,Large,4,Buttercream,Strawberry,Drip Design,Ivory,Message 160,Heart,Gluten,Sugar-Free,Custom Packaging
3,161,55,Anniversary,Red Velvet,Vanilla Cream,Small,3,Cream Cheese,Red Velvet,Flowers,White,Message 161,Square,None,Sugar-Free,Premium Box
3,162,104,Wedding,Chocolate,Chocolate Cream,Large,5,Cream Cheese,Chocolate,Sprinkles,Gold,Message 162,Square,Gluten,None,Box
5,163,67,Corporate,Chocolate,Strawberry Jam,Large,1,Cream Cheese,Funfetti,Minimalist,Ivory,Message 163,Heart,Gluten,Gluten-Free Flour,Premium Box
4,164,19,Corporate,Red Velvet,Chocolate Cream,Medium,3,Buttercream,Chocolate,Logo,Gold,Message 164,Square,Gluten,Sugar-Free,Box
4,165,85,Graduation,Lemon,Chocolate Cream,Large,1,Buttercream,Strawberry,Logo,White,Message 165,Round,Dairy,Vegan,Premium Box
5,166,66,Graduation,Funfetti,Mocha Cream,Large,2,Cream Cheese,Funfetti,Hearts,Ivory,Message 166,Heart,Nuts,Sugar-Free,Custom Packaging
4,167,136,Corporate,Strawberry,Lemon Curd,Small,1,Buttercream,Vanilla,Flowers,Pink,Message 167,Rectangle,Dairy,Sugar-Free,Box
4,168,83,Baby Shower,Strawberry,Chocolate Cream,Medium,1,Buttercream,Red Velvet,Drip Design,Black,Message 168,Heart,None,Sugar-Free,Custom Packaging
3,169,23,Baby Shower,Funfetti,Vanilla Cream,Small,5,Buttercream,Lemon,Sprinkles,Red,Message 169,Square,Nuts,None,Premium Box
3,170,53,Corporate,Funfetti,Lemon Curd,Medium,1,Whipped Cream,Red Velvet,Hearts,Black,Message 170,Heart,Nuts,Gluten-Free Flour,Box
2,171,32,Corporate,Lemon,Lemon Curd,Small,5,Cream Cheese,Funfetti,Minimalist,Ivory,Message 171,Heart,Nuts,Gluten-Free Flour,Custom Packaging
2,172,46,Engagement,Funfetti,Strawberry Jam,Medium,4,Cream Cheese,Strawberry,Flowers,Red,Message 172,Heart,Gluten,Gluten-Free Flour,Custom Packaging
5,173,46,Engagement,Funfetti,Mocha Cream,Small,4,Cream Cheese,Coffee,Classic,Pink,Message 173,Round,Gluten,Sugar-Free,Premium Box
2,174,71,Engagement,Lemon,Vanilla Cream,Small,1,Buttercream,Red Velvet,Classic,Pink,Message 174,Rectangle,Dairy,Gluten-Free Flour,Premium Box
4,175,44,Corporate,Coffee,Vanilla Cream,Small,1,Whipped Cream,Lemon,Classic,Blue,Message 175,Rectangle,Nuts,Sugar-Free,Custom Packaging
3,176,124,Engagement,Lemon,Vanilla Cream,Medium,4,Buttercream,Lemon,Sprinkles,Blue,Message 176,Square,Dairy,Sugar-Free,Custom Packaging
